name,order_id,employee_id,product,amount,date,customer
,1,1,Printer,2500,2024-01-05,Dunder Mifflin Paper Company
,2,3,Ink,3000,2024-01-10,Scranton Business Park
,3,5,Paper,3500,2024-01-15,Stanley's Office Supplies
,4,2,Stapler,2800,2024-02-03,Schrute Farms
,5,4,Printer,3200,2024-02-08,Vance Refrigeration
,6,6,Paper,2700,2024-02-15,Michael Scott's Paper Company
,7,8,Paper,3300,2024-03-02,Corporate Office
,8,7,Ink,2600,2024-03-07,Lackawanna County Health Department
,9,9,Stapler,3100,2024-03-12,Angela's Cats
,10,10,Paper,3400,2024-04-01,Accounting Office
,11,1,Printer,2900,2024-04-06,David Wallace
,12,3,Ink,3300,2024-04-11,Sabre Corporation
,13,5,Stapler,3600,2024-04-16,Beach Games Inc.
,14,2,Paper,3000,2024-05-03,Warehouse Department
,15,4,Printer,3300,2024-05-08,Walter Bernard & Son Paper Company
,16,6,Ink,2800,2024-05-13,Alfredo's Pizza Cafe
,17,8,Stapler,3200,2024-05-18,Stratford School
,18,7,Paper,2900,2024-06-01,University of Scranton
,19,9,Printer,3100,2024-06-06,Schrute Industries
,20,10,Ink,3400,2024-06-11,Dunmore High School
,21,1,Printer,2700,2024-06-16,The Steamtown Mall
,22,3,Paper,3000,2024-07-03,Alfredo's Pizza Cafe
,23,5,Stapler,3300,2024-07-08,Lackawanna County Public Library
,24,2,Paper,2800,2024-07-13,Stamford Branch
,25,4,Printer,3100,2024-07-18,Scranton White Pages
,26,6,Ink,3500,2024-08-01,Lake Scranton Park
,27,8,Paper,2900,2024-08-06,Steamtown USA
,28,7,Stapler,3200,2024-08-11,Cooper's Seafood Restaurant
,29,9,Printer,2700,2024-08-16,Bellevue Women's Hospital
,30,10,Ink,3000,2024-08-21,St. Joseph's Center
