name,$id,$version,$created_by,$created_instant,$modified_by,$modified_instant,order_id,employee_id,product,amount,date,customer
,55719295183bcce4be5a98fa1e9f4c53.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,1,1,Printer,2500,2024-01-05,Dunder Mifflin Paper Company
,35e34610e955c977efd7cf6a89ad3b51.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,2,3,Ink,3000,2024-01-10,Scranton Business Park
,757799dbbea34a9523e01867cd90b63c.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,3,5,Paper,3500,2024-01-15,Stanley's Office Supplies
,c53b771a2be87469c44ae0f05803d85a.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,4,2,Stapler,2800,2024-02-03,Schrute Farms
,3307bca0ffc4ac14584bca0ec6be0349.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,5,4,Printer,3200,2024-02-08,Vance Refrigeration
,075af2b47eec1033e3b4940e7c6cea2b.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,6,6,Paper,2700,2024-02-15,Michael Scott's Paper Company
,2c4d91b7763dbf20798f77a3d170098a.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,7,8,Paper,3300,2024-03-02,Corporate Office
,ca56506ca4dfc893d4896bc335d473c1.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,8,7,Ink,2600,2024-03-07,Lackawanna County Health Department
,eb105d64e22b2dc9815d6240d6c7f9bb.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,9,9,Stapler,3100,2024-03-12,Angela's Cats
,fa36519ef26dab410b0cfa6738dce1c6.ent578db6947442ab4533c4fe0d7b39e,1,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,pm_nova_1@xactlycorp.com,2024-05-14T21:12:55.550Z,10,10,Paper,3400,2024-04-01,Accounting Office
